Loss,B1 exit,B2 exit,Main exit,Avg-Latency,B1 Accuracy,B2 Accuracy,Main Accuracy,Average Accuracy
0.0,0,0,5001,0.002360718584060669,0,0,0.8172365526894622,0.8172365526894622
0.01,37,0,4964,0.0023690303325653076,1.0,0,0.8102336825141015,0.8116376724655069
0.02,67,0,4934,0.0023631242752075194,1.0,0,0.8121199837859748,0.8146370725854829
0.03,128,0,4873,0.002317944598197937,1.0,0,0.8058690744920993,0.8108378324335133
0.04,175,0,4826,0.002345531678199768,0.9942857142857143,0,0.8114380439287194,0.8178364327134573
0.05,220,0,4781,0.002328887438774109,0.9954545454545455,0,0.8038067349926794,0.8122375524895021
0.06,259,0,4742,0.002314210367202759,1.0,0,0.8051455082243779,0.8152369526094781
0.07,309,0,4692,0.0022888228178024293,1.0,0,0.7962489343563512,0.8088382323535293
0.08,337,0,4664,0.0022813794612884524,0.9940652818991098,0,0.7980274442538593,0.8112377524495101
0.09,356,0,4645,0.002264368438720703,0.9887640449438202,0,0.7890204520990313,0.8032393521295741
0.1,396,0,4605,0.0022770047664642332,0.9949494949494949,0,0.7980456026058632,0.8136372725454909
0.11,429,0,4572,0.0022579421520233156,0.993006993006993,0,0.7869641294838146,0.8046390721855629
0.12,483,0,4518,0.0022786035299301147,0.989648033126294,0,0.7926073483842409,0.8116376724655069
0.13,507,0,4494,0.002244329833984375,0.9921104536489151,0,0.7937249666221629,0.8138372325534893
0.14,556,0,4445,0.002235823917388916,0.987410071942446,0,0.7923509561304837,0.8140371925614877
0.15,538,0,4463,0.0022438057661056518,0.983271375464684,0,0.7873627604750169,0.8084383123375325
0.16,585,0,4416,0.0022232614755630493,0.9914529914529915,0,0.7850996376811594,0.8092381523695261
0.17,612,0,4389,0.0022246094942092896,0.9869281045751634,0,0.7830940988835726,0.8080383923215357
0.18,663,0,4338,0.002213745927810669,0.9803921568627451,0,0.7766251728907331,0.8036392721455708
0.19,672,0,4329,0.002218214225769043,0.9806547619047619,0,0.7867867867867868,0.8128374325134973
0.2,725,0,4276,0.0022151965856552123,0.9862068965517241,0,0.7782974742750234,0.8084383123375325
0.21,756,0,4245,0.0021941558599472047,0.9867724867724867,0,0.7865724381625442,0.8168366326734653
0.22,768,0,4233,0.0021882617235183715,0.9856770833333334,0,0.7826600519725962,0.8138372325534893
0.23,793,0,4208,0.0021862707138061523,0.9848675914249685,0,0.7778041825095057,0.8106378724255149
0.24,853,0,4148,0.0021981242895126344,0.9835873388042204,0,0.7796528447444552,0.8144371125774845
0.25,833,0,4168,0.002176120901107788,0.9819927971188476,0,0.7816698656429942,0.8150369926014797
0.26,858,0,4143,0.002158405017852783,0.9813519813519813,0,0.7774559497948347,0.8124375124975005
0.27,865,0,4136,0.0021607210874557497,0.9780346820809248,0,0.7744197292069632,0.8096380723855229
0.28,937,0,4064,0.0021454989910125732,0.9754535752401281,0,0.7790354330708661,0.8158368326334733
0.29,956,0,4045,0.0021392136573791503,0.9801255230125523,0,0.7648949320148332,0.8060387922415517
0.3,1016,0,3985,0.0021227044582366942,0.9783464566929134,0,0.7673776662484316,0.8102379524095181
0.31,989,0,4012,0.0021260470151901246,0.9767441860465116,0,0.7637088733798604,0.8058388322335532
0.32,1034,0,3967,0.0021503262519836424,0.9709864603481625,0,0.7698512730022687,0.8114377124575085
0.33,1018,0,3983,0.0021395477294921875,0.9744597249508841,0,0.7652523223700728,0.8078384323135372
0.34,1051,0,3950,0.0021269296884536743,0.972407231208373,0,0.780759493670886,0.8210357928414317
0.35000000000000003,1092,0,3909,0.00212615339756012,0.9706959706959707,0,0.7664364287541571,0.8110377924415118
0.36,1101,0,3900,0.002123327565193176,0.9663941871026339,0,0.7661538461538462,0.8102379524095181
0.37,1209,0,3792,0.0021427276611328126,0.9710504549214226,0,0.7563291139240507,0.8082383523295341
0.38,1196,0,3805,0.002107039165496826,0.9732441471571907,0,0.7534822601839685,0.8060387922415517
0.39,1211,0,3790,0.0020981083869934082,0.9661436829066887,0,0.7722955145118734,0.8192361527694461
0.4,1234,0,3767,0.002120118308067322,0.9692058346839546,0,0.7647995752588267,0.8152369526094781
0.41000000000000003,1252,0,3749,0.0020795981407165528,0.9640575079872205,0,0.7618031475060016,0.8124375124975005
0.42,1249,0,3752,0.002076550030708313,0.967173738991193,0,0.7444029850746269,0.8000399920015997
0.43,1324,0,3677,0.0020695313692092898,0.9652567975830816,0,0.7574109328256731,0.8124375124975005
