Frame No,Exit Branch,Latency,Confidence,Accuracy,B1 FLOPs,B2 FLOPs,Main FLOPs
0,main,0.018137693405151367,1.9192328282180426e-10,1.0,6220800.0,1990656.0,163044928.0
1,main,0.018155336380004883,6.336017122521298e-06,1.0,6220800.0,1990656.0,163044928.0
2,main,0.011289834976196289,1.2226928358671785e-09,1.0,6220800.0,1990656.0,163044928.0
3,main,0.011685609817504883,1.4896550659670993e-09,1.0,6220800.0,1990656.0,163044928.0
4,failed,0.011463642120361328,0,No detection,6220800.0,1990656.0,163044928.0
5,failed,0.009330511093139648,0,No detection,6220800.0,1990656.0,163044928.0
6,main,0.009461402893066406,2.125290915477862e-10,0.7142857142857143,6220800.0,1990656.0,163044928.0
7,main,0.009877681732177734,5.441662542121119e-14,0.75,6220800.0,1990656.0,163044928.0
8,main,0.007620811462402344,1.0755536550277611e-07,0.7777777777777778,6220800.0,1990656.0,163044928.0
9,failed,0.009023189544677734,0,No detection,6220800.0,1990656.0,163044928.0
10,failed,0.007432699203491211,0,No detection,6220800.0,1990656.0,163044928.0
11,failed,0.008383035659790039,0,No detection,6220800.0,1990656.0,163044928.0
12,failed,0.008717060089111328,0,No detection,6220800.0,1990656.0,163044928.0
13,failed,0.010725021362304688,0,No detection,6220800.0,1990656.0,163044928.0
14,failed,0.01099252700805664,0,No detection,6220800.0,1990656.0,163044928.0
15,main,0.008467435836791992,4.482308274544877e-11,0.5,6220800.0,1990656.0,163044928.0
16,failed,0.009163618087768555,0,No detection,6220800.0,1990656.0,163044928.0
17,main,0.011229276657104492,3.0621216825198194e-13,0.5,6220800.0,1990656.0,163044928.0
18,failed,0.011099815368652344,0,No detection,6220800.0,1990656.0,163044928.0
19,main,0.00973200798034668,6.576747960754322e-24,0.5,6220800.0,1990656.0,163044928.0
20,main,0.011342525482177734,1.0170123232455808e-07,0.5238095238095238,6220800.0,1990656.0,163044928.0
21,failed,0.009891271591186523,0,No detection,6220800.0,1990656.0,163044928.0
22,main,0.008572101593017578,1.4207744980510029e-09,0.5217391304347826,6220800.0,1990656.0,163044928.0
23,main,0.00860452651977539,6.050602241458591e-09,0.5416666666666666,6220800.0,1990656.0,163044928.0
24,main,0.010666370391845703,3.684905028680796e-15,0.56,6220800.0,1990656.0,163044928.0
25,failed,0.00883626937866211,0,No detection,6220800.0,1990656.0,163044928.0
26,failed,0.008078336715698242,0,No detection,6220800.0,1990656.0,163044928.0
27,main,0.009435415267944336,2.151883116141562e-09,0.5357142857142857,6220800.0,1990656.0,163044928.0
28,failed,0.01277017593383789,0,No detection,6220800.0,1990656.0,163044928.0
29,main,0.010565996170043945,2.8429958387476972e-09,0.5333333333333333,6220800.0,1990656.0,163044928.0
30,main,0.010672569274902344,0.048621732741594315,0.5483870967741935,6220800.0,1990656.0,163044928.0
31,main,0.009250402450561523,3.9997777312450467e-10,0.5625,6220800.0,1990656.0,163044928.0
32,main,0.011373043060302734,8.470149054525238e-15,0.5757575757575758,6220800.0,1990656.0,163044928.0
